MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20231121,CA,95.32,4.68,0.00,0.00,0.00,0.00,2023-11-21,2023-11-27,1
20231114,CA,95.32,4.68,0.00,0.00,0.00,0.00,2023-11-14,2023-11-20,1
20231107,CA,94.04,5.96,0.00,0.00,0.00,0.00,2023-11-07,2023-11-13,1
20231031,CA,94.34,5.66,0.00,0.00,0.00,0.00,2023-10-31,2023-11-06,1
20231024,CA,94.32,5.68,0.00,0.00,0.00,0.00,2023-10-24,2023-10-30,1
20231017,CA,94.32,5.68,0.00,0.00,0.00,0.00,2023-10-17,2023-10-23,1
20231010,CA,93.98,6.02,0.07,0.00,0.00,0.00,2023-10-10,2023-10-16,1
20231003,CA,94.01,5.99,0.07,0.00,0.00,0.00,2023-10-03,2023-10-09,1
20230926,CA,94.01,5.99,0.07,0.00,0.00,0.00,2023-09-26,2023-10-02,1
20230919,CA,93.53,6.47,0.24,0.00,0.00,0.00,2023-09-19,2023-09-25,1
20230912,CA,93.54,6.46,0.22,0.00,0.00,0.00,2023-09-12,2023-09-18,1
20230905,CA,93.53,6.47,0.22,0.00,0.00,0.00,2023-09-05,2023-09-11,1
20230829,CA,93.35,6.65,1.35,0.00,0.00,0.00,2023-08-29,2023-09-04,1
20230822,CA,93.33,6.67,1.38,0.00,0.00,0.00,2023-08-22,2023-08-28,1
20230815,CA,74.56,25.44,7.27,0.00,0.00,0.00,2023-08-15,2023-08-21,1
20230808,CA,74.55,25.45,7.28,0.00,0.00,0.00,2023-08-08,2023-08-14,1
20230801,CA,74.43,25.57,6.52,0.00,0.00,0.00,2023-08-01,2023-08-07,1
20230725,CA,74.43,25.57,6.29,0.00,0.00,0.00,2023-07-25,2023-07-31,1
20230718,CA,74.45,25.55,6.29,0.00,0.00,0.00,2023-07-18,2023-07-24,1
20230711,CA,71.95,28.05,6.29,0.00,0.00,0.00,2023-07-11,2023-07-17,1
20230704,CA,71.95,28.05,4.63,0.00,0.00,0.00,2023-07-04,2023-07-10,1
20230627,CA,71.88,28.12,4.63,0.00,0.00,0.00,2023-06-27,2023-07-03,1
20230620,CA,72.32,27.68,4.63,0.00,0.00,0.00,2023-06-20,2023-06-26,1
20230613,CA,72.32,27.68,4.63,0.00,0.00,0.00,2023-06-13,2023-06-19,1
20230606,CA,70.88,29.12,4.63,0.00,0.00,0.00,2023-06-06,2023-06-12,1
20230530,CA,70.88,29.12,4.63,0.00,0.00,0.00,2023-05-30,2023-06-05,1
20230523,CA,70.86,29.14,4.63,0.00,0.00,0.00,2023-05-23,2023-05-29,1
20230516,CA,68.02,31.98,5.95,0.00,0.00,0.00,2023-05-16,2023-05-22,1
20230509,CA,68.02,31.98,5.95,0.00,0.00,0.00,2023-05-09,2023-05-15,1
20230502,CA,68.04,31.96,7.98,0.00,0.00,0.00,2023-05-02,2023-05-08,1
