County,StartDate,EndDate
Alameda,2013/1/1,2013/1/8
Alameda,2013/2/19,2017/2/7
Alameda,2018/2/20,2019/2/5
Alameda,2019/11/12,2019/12/3
Alameda,2020/1/28,2022/12/27
Alpine,2013/1/1,2017/1/17
Alpine,2018/1/30,2018/4/3
Alpine,2018/6/26,2019/1/22
Alpine,2019/10/15,2019/12/3
Alpine,2020/1/28,2022/12/27
Amador,2013/2/26,2017/2/7
Amador,2018/1/30,2018/3/20
Amador,2018/6/26,2019/1/22
Amador,2019/10/22,2019/12/3
Amador,2020/1/28,2022/12/27
Butte,2013/2/19,2017/1/3
Butte,2018/2/6,2019/1/29
Butte,2019/11/12,2019/12/3
Butte,2020/1/28,2022/12/27
Calaveras,2013/1/1,2017/2/21
Calaveras,2018/1/30,2018/4/3
Calaveras,2018/6/26,2019/1/22
Calaveras,2019/10/22,2019/12/3
Calaveras,2020/1/28,2022/12/27
Colusa,2013/2/19,2017/1/3
Colusa,2018/2/6,2019/2/5
Colusa,2019/11/12,2019/12/3
Colusa,2020/1/28,2022/12/27
Contra Costa,2013/1/1,2013/1/8
Contra Costa,2013/2/19,2017/2/7
Contra Costa,2018/2/20,2019/1/22
Contra Costa,2019/11/12,2019/12/3
Contra Costa,2020/1/28,2022/12/27
Del Norte,2013/2/19,2013/3/5
Del Norte,2013/3/19,2013/4/2
Del Norte,2013/4/30,2016/3/22
Del Norte,2016/6/7,2016/10/11
Del Norte,2018/6/5,2019/2/26
Del Norte,2019/11/26,2019/12/3
Del Norte,2020/2/25,2022/12/27
El Dorado,2013/2/26,2017/1/17
El Dorado,2018/1/30,2018/3/20
El Dorado,2018/6/26,2019/1/22
El Dorado,2019/10/22,2019/12/3
El Dorado,2020/1/28,2022/12/27
Fresno,2013/1/1,2019/2/12
Fresno,2019/10/15,2019/12/3
Fresno,2020/1/28,2022/12/27
Glenn,2013/2/19,2017/1/3
Glenn,2018/2/6,2019/2/12
Glenn,2019/11/12,2019/12/3
Glenn,2020/1/28,2022/12/27
Humboldt,2013/2/19,2013/3/5
Humboldt,2013/3/19,2016/10/11
Humboldt,2018/1/9,2018/1/30
Humboldt,2018/3/27,2018/4/3
Humboldt,2018/6/26,2019/2/26
Humboldt,2019/11/26,2019/12/3
Humboldt,2020/2/18,2022/12/27
Imperial,2013/1/1,2019/12/3
Imperial,2020/8/18,2022/12/27
Inyo,2013/1/1,2017/7/25
Inyo,2017/12/12,2019/2/19
Inyo,2019/10/15,2019/12/3
Inyo,2020/1/28,2022/12/27
Kern,2013/1/1,2019/2/19
Kern,2019/11/12,2019/12/3
Kern,2020/1/28,2020/4/7
Kern,2020/8/18,2022/12/27
Kings,2013/1/1,2019/2/19
Kings,2019/11/12,2019/12/3
Kings,2020/1/28,2022/12/27
Lake,2013/2/19,2017/1/3
Lake,2018/2/6,2019/2/12
Lake,2019/11/12,2019/12/3
Lake,2020/1/28,2022/12/27
Lassen,2013/1/1,2017/1/3
Lassen,2018/1/30,2018/4/3
Lassen,2018/9/11,2019/2/19
Lassen,2019/11/12,2022/12/27
Los Angeles,2013/1/1,2019/2/19
Los Angeles,2019/8/27,2019/9/24
Los Angeles,2019/11/12,2019/12/3
Los Angeles,2020/2/11,2020/4/7
Los Angeles,2020/9/15,2022/12/27
Madera,2013/1/1,2017/2/21
Madera,2017/12/5,2019/2/12
Madera,2019/10/15,2019/12/3
Madera,2020/1/28,2022/12/27
Marin,2013/2/19,2017/1/3
Marin,2018/2/6,2018/3/6
Marin,2018/6/26,2019/2/5
Marin,2019/11/12,2019/12/3
Marin,2020/1/28,2022/12/27
Mariposa,2013/1/1,2017/2/21
Mariposa,2018/1/23,2019/1/22
Mariposa,2019/10/15,2019/12/3
Mariposa,2020/1/28,2022/12/27
Mendocino,2013/2/19,2013/3/5
Mendocino,2013/3/26,2017/1/3
Mendocino,2018/2/6,2018/5/1
Mendocino,2018/5/15,2019/2/12
Mendocino,2019/11/12,2019/12/3
Mendocino,2020/2/18,2022/12/27
Merced,2013/1/1,2019/2/12
Merced,2019/11/12,2019/12/3
Merced,2020/1/28,2022/12/27
Modoc,2013/1/1,2017/1/3
Modoc,2018/1/30,2019/4/2
Modoc,2019/11/26,2022/12/27
Mono,2013/1/1,2017/2/7
Mono,2018/1/23,2019/1/22
Mono,2019/10/15,2019/12/3
Mono,2020/1/28,2022/12/27
Monterey,2013/1/1,2019/2/12
Monterey,2019/11/12,2019/12/3
Monterey,2020/1/28,2022/12/27
Napa,2013/2/19,2017/1/3
Napa,2018/2/6,2019/2/5
Napa,2019/11/12,2019/12/3
Napa,2020/1/28,2022/12/27
Nevada,2013/1/1,2017/1/3
Nevada,2018/1/30,2018/3/20
Nevada,2018/6/26,2019/1/29
Nevada,2019/10/22,2019/12/3
Nevada,2020/1/28,2022/12/27
Orange,2013/1/1,2019/9/24
Orange,2019/11/12,2019/12/3
Orange,2020/2/11,2020/3/31
Orange,2020/11/24,2022/12/27
Placer,2013/1/1,2017/1/3
Placer,2018/1/30,2018/3/20
Placer,2018/6/26,2019/1/29
Placer,2019/10/22,2019/12/3
Placer,2020/1/28,2022/12/27
Plumas,2013/1/1,2017/1/3
Plumas,2018/1/30,2018/3/20
Plumas,2018/6/26,2019/1/29
Plumas,2019/11/12,2019/12/3
Plumas,2020/2/11,2022/12/27
Riverside,2013/1/1,2019/12/3
Riverside,2020/3/10,2020/3/31
Riverside,2020/8/4,2022/12/27
Sacramento,2013/1/1,2013/1/8
Sacramento,2013/2/26,2017/1/17
Sacramento,2018/2/20,2019/1/29
Sacramento,2019/11/12,2019/12/3
Sacramento,2020/1/28,2022/12/27
San Benito,2013/1/1,2019/2/12
San Benito,2019/11/12,2019/12/3
San Benito,2020/1/28,2022/12/27
San Bernardino,2013/1/1,2019/2/19
San Bernardino,2019/8/13,2019/12/24
San Bernardino,2020/3/10,2020/3/31
San Bernardino,2020/8/4,2022/12/27
San Diego,2013/1/1,2019/9/24
San Diego,2019/11/12,2019/11/26
San Diego,2020/3/10,2020/3/31
San Diego,2020/8/18,2022/12/27
San Francisco,2013/2/19,2017/1/3
San Francisco,2018/2/20,2018/3/6
San Francisco,2018/6/26,2019/2/5
San Francisco,2019/11/12,2019/12/3
San Francisco,2020/1/28,2022/12/27
San Joaquin,2013/1/1,2017/2/21
San Joaquin,2018/2/6,2019/1/29
San Joaquin,2019/11/12,2019/12/3
San Joaquin,2020/1/28,2022/12/27
San Luis Obispo,2013/1/1,2019/2/12
San Luis Obispo,2019/11/12,2019/12/3
San Luis Obispo,2020/2/11,2020/4/7
San Luis Obispo,2020/11/24,2022/12/27
San Mateo,2013/2/19,2017/1/3
San Mateo,2018/2/6,2018/3/6
San Mateo,2018/6/26,2019/2/5
San Mateo,2019/11/12,2019/12/3
San Mateo,2020/1/28,2022/12/27
Santa Barbara,2013/1/1,2019/2/12
Santa Barbara,2019/11/12,2019/12/3
Santa Barbara,2020/2/11,2020/4/7
Santa Barbara,2020/11/24,2022/12/27
Santa Clara,2013/1/1,2017/2/14
Santa Clara,2018/1/23,2019/2/12
Santa Clara,2019/11/12,2019/12/3
Santa Clara,2020/1/28,2022/12/27
Santa Cruz,2013/1/1,2013/1/8
Santa Cruz,2013/2/19,2017/2/14
Santa Cruz,2018/2/6,2018/5/1
Santa Cruz,2018/6/26,2019/2/12
Santa Cruz,2019/11/12,2019/12/3
Santa Cruz,2020/1/28,2022/12/27
Shasta,2013/1/1,2016/12/20
Shasta,2018/1/30,2019/2/26
Shasta,2019/11/12,2019/12/3
Shasta,2020/2/18,2022/12/27
Sierra,2013/1/1,2017/1/3
Sierra,2018/1/30,2018/3/20
