None,D0,D1,D2,D3,D4,StartDate,EndDate
95.32,4.68,0,0,0,0,2023/11/21,2023/11/27
95.32,4.68,0,0,0,0,2023/11/14,2023/11/20
94.04,5.96,0,0,0,0,2023/11/7,2023/11/13
94.34,5.66,0,0,0,0,2023/10/31,2023/11/6
94.32,5.68,0,0,0,0,2023/10/24,2023/10/30
94.32,5.68,0,0,0,0,2023/10/17,2023/10/23
93.98,6.02,0.07,0,0,0,2023/10/10,2023/10/16
94.01,5.99,0.07,0,0,0,2023/10/3,2023/10/9
94.01,5.99,0.07,0,0,0,2023/9/26,2023/10/2
93.53,6.47,0.24,0,0,0,2023/9/19,2023/9/25
93.54,6.46,0.22,0,0,0,2023/9/12,2023/9/18
93.53,6.47,0.22,0,0,0,2023/9/5,2023/9/11
93.35,6.65,1.35,0,0,0,2023/8/29,2023/9/4
93.33,6.67,1.38,0,0,0,2023/8/22,2023/8/28
74.56,25.44,7.27,0,0,0,2023/8/15,2023/8/21
74.55,25.45,7.28,0,0,0,2023/8/8,2023/8/14
74.43,25.57,6.52,0,0,0,2023/8/1,2023/8/7
74.43,25.57,6.29,0,0,0,2023/7/25,2023/7/31
74.45,25.55,6.29,0,0,0,2023/7/18,2023/7/24
71.95,28.05,6.29,0,0,0,2023/7/11,2023/7/17
71.95,28.05,4.63,0,0,0,2023/7/4,2023/7/10
71.88,28.12,4.63,0,0,0,2023/6/27,2023/7/3
72.32,27.68,4.63,0,0,0,2023/6/20,2023/6/26
72.32,27.68,4.63,0,0,0,2023/6/13,2023/6/19
70.88,29.12,4.63,0,0,0,2023/6/6,2023/6/12
70.88,29.12,4.63,0,0,0,2023/5/30,2023/6/5
70.86,29.14,4.63,0,0,0,2023/5/23,2023/5/29
68.02,31.98,5.95,0,0,0,2023/5/16,2023/5/22
68.02,31.98,5.95,0,0,0,2023/5/9,2023/5/15
68.04,31.96,7.98,0,0,0,2023/5/2,2023/5/8
68.04,31.96,7.98,0,0,0,2023/4/25,2023/5/1
65.67,34.33,8.79,0,0,0,2023/4/18,2023/4/24
65.67,34.33,8.79,0,0,0,2023/4/11,2023/4/17
56.17,43.83,24.86,0.82,0,0,2023/4/4,2023/4/10
55.34,44.66,28.11,1.95,0,0,2023/3/28,2023/4/3
48.51,51.49,35.88,8.49,0,0,2023/3/21,2023/3/27
